chr1	0	241996316	249250621	0.970896
chr1	1	4276763	249250621	0.0171585
chr1	2	1475526	249250621	0.00591985
chr1	3	710135	249250621	0.00284908
chr1	4	388193	249250621	0.00155744
chr1	5	179651	249250621	0.000720765
chr1	6	91005	249250621	0.000365114
chr1	7	53307	249250621	0.000213869
chr1	8	33862	249250621	0.000135855
chr1	9	8961	249250621	3.59518e-05
chr1	10	11434	249250621	4.58735e-05
chr1	11	2253	249250621	9.03909e-06
chr1	12	4582	249250621	1.83831e-05
chr1	13	7406	249250621	2.97131e-05
chr1	14	684	249250621	2.74423e-06
chr1	15	1153	249250621	4.62587e-06
chr1	16	4626	249250621	1.85596e-05
chr1	17	50	249250621	2.00601e-07
chr1	18	337	249250621	1.35205e-06
chr1	19	36	249250621	1.44433e-07
chr1	20	1080	249250621	4.33299e-06
chr1	21	366	249250621	1.4684e-06
chr1	22	93	249250621	3.73118e-07
chr1	23	163	249250621	6.5396e-07
chr1	24	95	249250621	3.81142e-07
chr1	25	1494	249250621	5.99397e-06
chr1	27	70	249250621	2.80842e-07
chr1	30	980	249250621	3.93179e-06
chr10	0	132497709	135534747	0.977592
chr10	1	1750080	135534747	0.0129124
chr10	2	587136	135534747	0.004332
chr10	3	297094	135534747	0.00219201
chr10	4	169837	135534747	0.00125309
chr10	5	61489	135534747	0.000453677
chr10	6	71202	135534747	0.000525341
chr10	7	36297	135534747	0.000267806
chr10	8	13603	135534747	0.000100365
chr10	9	9569	135534747	7.06018e-05
chr10	10	6872	135534747	5.07029e-05
chr10	11	11230	135534747	8.2857e-05
chr10	12	10710	135534747	7.90203e-05
chr10	13	5886	135534747	4.3428e-05
chr10	14	592	135534747	4.36788e-06
chr10	15	143	135534747	1.05508e-06
chr10	16	196	135534747	1.44612e-06
chr10	18	226	135534747	1.66747e-06
chr10	20	3416	135534747	2.52039e-05
chr10	26	1303	135534747	9.61377e-06
chr10	28	157	135534747	1.15837e-06
chr11	0	131006080	135006516	0.970369
chr11	1	2392545	135006516	0.0177217
chr11	2	779903	135006516	0.00577678
chr11	3	368023	135006516	0.00272596
chr11	4	189510	135006516	0.00140371
chr11	5	114796	135006516	0.0008503
chr11	6	55365	135006516	0.000410091
chr11	7	42394	135006516	0.000314014
chr11	8	21606	135006516	0.000160037
chr11	9	10595	135006516	7.84777e-05
chr11	10	6555	135006516	4.85532e-05
chr11	11	157	135006516	1.16291e-06
chr11	12	3218	135006516	2.38359e-05
chr11	13	199	135006516	1.474e-06
chr11	14	602	135006516	4.45904e-06
chr11	15	365	135006516	2.70357e-06
chr11	16	22	135006516	1.62955e-07
chr11	17	3545	135006516	2.6258e-05
